Division,Cat,Category,DeptID,ClassID,YR,MX,Sales,SalesLY,Units,UnitsLY,StockEOM,StockEOMLY,GM,GMLY,MKDN,MKDNLY,OnPO
Clothing,N,Niagara,1,11N,2025,202501,972,1370,48,67,38059,46580,542,821,3,0,0
Clothing,N,Niagara,1,11N,2025,202502,3068,2869,163,130,61140,61864,1660,1814,50,22,0
Clothing,N,Niagara,1,11N,2025,202503,5503,5116,285,237,60115,65437,3090,3263,61,3,0
Clothing,N,Niagara,1,11N,2025,202504,8885,8191,499,387,61554,72121,4928,5279,170,4,0
Clothing,N,Niagara,1,11N,2025,202505,17111,13019,907,633,84922,63926,9803,8161,189,438,0
Clothing,N,Niagara,1,11N,2025,202506,17803,14341,866,691,79258,62980,10993,8833,15,315,0
Clothing,N,Niagara,1,11N,2025,202507,17585,14032,820,645,62511,62482,10779,8613,30,58,0
Clothing,N,Niagara,1,11N,2025,202508,14650,13196,726,612,52155,51479,8684,8117,43,217,0
Clothing,N,Niagara,1,11N,2025,202509,7283,6646,354,296,46333,42036,4227,3961,10,75,0
Clothing,N,Niagara,1,11N,2025,202510,3018,2963,141,142,44246,35595,1712,1678,51,30,0
Clothing,N,Niagara,1,11N,2025,202511,3597,3153,164,138,54721,35066,2103,1758,45,53,0
Clothing,N,Niagara,1,11N,2025,202512,1136,569,60,30,73781,37020,680,310,4,26,0
Clothing,P,PEI,1,11P,2025,202501,862,696,40,34,217916,202028,526,442,59,1,0
Clothing,P,PEI,1,11P,2025,202502,1350,1448,67,70,229178,219042,857,931,0,0,0
Clothing,P,PEI,1,11P,2025,202503,2964,3936,153,209,282842,253331,1929,2506,20,98,0
Clothing,P,PEI,1,11P,2025,202504,11319,11014,625,624,323973,276462,6890,6819,66,223,0
Clothing,P,PEI,1,11P,2025,202505,66553,47533,3174,2375,374299,303074,42893,30969,41,2224,0
Clothing,P,PEI,1,11P,2025,202506,144423,115628,6221,5365,336262,293815,95528,75404,477,330,0
Clothing,P,PEI,1,11P,2025,202507,142810,112798,6202,5188,254547,215884,93821,72401,387,542,0
Clothing,P,PEI,1,11P,2025,202508,41745,36974,1919,1771,152768,120968,27001,23551,131,1365,0
Clothing,P,PEI,1,11P,2025,202509,8788,6525,388,301,119627,113009,5704,4189,48,36,0
Clothing,P,PEI,1,11P,2025,202510,1608,1184,78,58,111238,105701,996,715,186,69,0
Clothing,P,PEI,1,11P,2025,202511,1313,1829,59,83,103693,102825,807,1165,0,32,0
Clothing,P,PEI,1,11P,2025,202512,276,755,15,35,158918,114382,162,441,14,9,0
Clothing,Q,Quebec,1,11Q,2025,202501,5468,6931,249,323,82732,106033,3362,4466,64,0,0
Clothing,Q,Quebec,1,11Q,2025,202502,4887,6913,243,334,105311,104726,2963,4461,29,0,0
Clothing,Q,Quebec,1,11Q,2025,202503,6650,7295,307,343,105116,109140,4131,4752,0,9,0
Clothing,Q,Quebec,1,11Q,2025,202504,10582,9622,632,495,121946,102915,5805,5944,187,27,0
Clothing,Q,Quebec,1,11Q,2025,202505,19781,14249,1211,726,132732,92700,11015,8919,17,735,0
Clothing,Q,Quebec,1,11Q,2025,202506,20967,16491,1082,806,125965,91153,12888,10302,14,4,0
Clothing,Q,Quebec,1,11Q,2025,202507,23838,20409,1187,962,110078,85260,14410,12826,141,-1,0
Clothing,Q,Quebec,1,11Q,2025,202508,19797,17186,956,870,98009,72860,12076,10710,12,296,0
Clothing,Q,Quebec,1,11Q,2025,202509,12774,8442,565,403,79228,59910,8067,5218,31,3,0
Clothing,Q,Quebec,1,11Q,2025,202510,4532,3973,231,178,79538,61861,2564,2396,130,119,0
Clothing,Q,Quebec,1,11Q,2025,202511,9190,7683,396,343,83251,59812,5682,4676,0,15,0
Clothing,Q,Quebec,1,11Q,2025,202512,2804,2681,116,113,93266,54733,1744,1678,0,29,0
Clothing,V,Vancouver,1,11V,2025,202501,897,1781,53,102,66008,55746,510,1082,0,9,0
Clothing,V,Vancouver,1,11V,2025,202502,3013,4415,151,243,77290,61091,1827,2740,0,5,0
Clothing,V,Vancouver,1,11V,2025,202503,4598,4442,257,254,101467,59637,2797,2765,0,10,0
Clothing,V,Vancouver,1,11V,2025,202504,8539,7836,501,425,112967,63733,4966,4862,1,36,0
Clothing,V,Vancouver,1,11V,2025,202505,13233,11860,735,624,116841,55862,7928,7428,5,50,0
Clothing,V,Vancouver,1,11V,2025,202506,14848,12256,741,606,111476,47269,9149,7621,0,2,0
Clothing,V,Vancouver,1,11V,2025,202507,13842,10212,719,510,101534,41699,8170,6420,12,2,0
Clothing,V,Vancouver,1,11V,2025,202508,14472,7996,841,411,88125,43499,8044,4958,2,3,0
Clothing,V,Vancouver,1,11V,2025,202509,3738,2493,211,119,80195,38594,2107,1526,0,0,0
Clothing,V,Vancouver,1,11V,2025,202510,3660,1699,175,78,78133,42558,2162,1020,24,52,0
Clothing,V,Vancouver,1,11V,2025,202511,2315,1978,113,100,75638,40758,1323,1177,19,0,0
Clothing,V,Vancouver,1,11V,2025,202512,1887,665,93,35,85408,49589,1084,374,0,8,0
Clothing,W,Whistler,1,11W,2025,202501,28994,31849,1165,1482,132454,201314,18717,20540,101,57,0
Clothing,W,Whistler,1,11W,2025,202502,33085,43000,1340,1999,140838,199866,21380,27921,93,107,0
Clothing,W,Whistler,1,11W,2025,202503,21471,19405,935,875,129108,196413,13431,12647,195,90,0
Clothing,W,Whistler,1,11W,2025,202504,19942,17074,1085,770,146480,181986,11478,11239,169,49,0
Clothing,W,Whistler,1,11W,2025,202505,38963,34714,1790,1569,154462,164787,25007,22604,65,609,0
Clothing,W,Whistler,1,11W,2025,202506,43583,36471,1912,1620,147644,152986,28888,23853,51,148,0
Clothing,W,Whistler,1,11W,2025,202507,41161,38685,1893,1752,116249,136107,26147,25001,382,83,0
Clothing,W,Whistler,1,11W,2025,202508,36349,30692,1649,1462,132857,125937,23048,19527,115,1650,0
Clothing,W,Whistler,1,11W,2025,202509,16077,13467,672,590,141872,109654,10392,8609,49,45,0
Clothing,W,Whistler,1,11W,2025,202510,13531,8871,561,381,168515,98397,8868,5597,289,269,0
Clothing,W,Whistler,1,11W,2025,202511,33631,23164,1277,939,259039,104475,22079,14728,200,263,0
Clothing,W,Whistler,1,11W,2025,202512,29441,21471,1120,868,286157,149221,19028,13730,53,51,0
Clothing,Z,NA,1,11Z,2025,202501,57,554,6,26,1499,6159,-1,282,100,37,0
Clothing,Z,NA,1,11Z,2025,202502,30,953,3,88,679,10185,0,242,60,9,0
Clothing,Z,NA,1,11Z,2025,202503,9,801,1,70,1123,8526,-2,164,-1,0,0
Clothing,Z,NA,1,11Z,2025,202504,57,668,11,48,1041,6957,-64,238,1,0,0
Clothing,Z,NA,1,11Z,2025,202505,329,5664,63,338,1637,5897,-362,3577,10,425,0
Clothing,Z,NA,1,11Z,2025,202506,81,4399,3,268,1298,8026,34,2695,23,703,0
Clothing,Z,NA,1,11Z,2025,202507,148,852,4,50,1194,2785,73,535,0,0,0
Clothing,Z,NA,1,11Z,2025,202508,0,34,0,5,78754,1892,0,4,0,44,0
Clothing,Z,NA,1,11Z,2025,202509,197,55,18,1,1046,1213,21,36,320,0,0
Clothing,Z,NA,1,11Z,2025,202510,509,114,22,4,534,1117,190,75,32,6,0
Clothing,Z,NA,1,11Z,2025,202511,3352,759,108,33,11145,2429,1496,444,126,230,0
Clothing,Z,NA,1,11Z,2025,202512,694,71,24,8,8383,995,287,-5,26,100,0
Clothing,2,,1,122,2025,202501,0,863,0,20,0,5545,0,631,0,0,0
Clothing,2,,1,122,2025,202502,0,430,0,10,0,4685,0,314,0,0,0
Clothing,2,,1,122,2025,202503,0,430,0,10,0,4256,0,314,0,0,0
Clothing,2,,1,122,2025,202504,0,949,0,22,0,3826,0,693,0,0,0
Clothing,2,,1,122,2025,202505,0,702,0,17,0,2880,0,505,0,27,0
Clothing,2,,1,122,2025,202506,0,607,0,14,0,2150,0,446,0,-6,0
Clothing,2,,1,122,2025,202507,0,171,0,4,0,7652,0,125,0,0,0
Clothing,2,,1,122,2025,202508,0,0,0,0,0,0,0,0,0,0,0
Clothing,B,Banff,1,12B,2025,202501,9107,8832,172,203,91776,85819,6584,6379,158,23,0
Clothing,B,Banff,1,12B,2025,202502,9259,17017,199,426,89013,76380,6612,11878,105,349,0
Clothing,B,Banff,1,12B,2025,202503,8311,8104,171,230,78932,56672,6003,5344,198,238,0
Clothing,B,Banff,1,12B,2025,202504,13891,7653,280,171,65778,45973,10305,5663,21,27,0
Clothing,B,Banff,1,12B,2025,202505,30191,19877,625,450,75942,37969,22662,14613,99,1114,0
Clothing,B,Banff,1,12B,2025,202506,25411,21675,534,480,45326,34916,18886,16056,51,84,0
Clothing,B,Banff,1,12B,2025,202507,18297,15514,409,335,46801,25739,13331,11583,104,21,0
Clothing,B,Banff,1,12B,2025,202508,17373,25273,388,535,41331,23358,12687,18839,14,6,0
Clothing,B,Banff,1,12B,2025,202509,5828,4739,126,99,30289,27161,4297,3530,0,14,0
Clothing,B,Banff,1,12B,2025,202510,1548,1744,40,49,23158,18242,1012,1171,43,58,0
Clothing,B,Banff,1,12B,2025,202511,3957,8663,80,150,21209,15260,2977,6211,-3,585,0
Clothing,B,Banff,1,12B,2025,202512,4697,6868,95,129,88243,88945,3548,5004,0,215,0
Clothing,C,Canmore,1,12C,2025,202501,1363,1754,29,57,24740,29740,1024,1064,0,100,0
Clothing,C,Canmore,1,12C,2025,202502,2298,2781,49,96,33363,27178,1728,1609,7,208,0
Clothing,C,Canmore,1,12C,2025,202503,3078,1069,71,49,31201,22982,2244,493,21,227,0
Clothing,C,Canmore,1,12C,2025,202504,3933,1157,84,30,27865,20896,2952,813,25,0,0
Clothing,C,Canmore,1,12C,2025,202505,7589,2938,173,96,21321,19538,5589,1834,32,905,0
Clothing,C,Canmore,1,12C,2025,202506,6177,3880,141,85,13638,15446,4558,2888,0,7,0
Clothing,C,Canmore,1,12C,2025,202507,7857,3527,201,75,34366,18491,5557,2645,127,0,0
Clothing,C,Canmore,1,12C,2025,202508,7537,3875,177,83,25886,14907,5485,2895,24,24,0
Clothing,C,Canmore,1,12C,2025,202509,2005,917,43,28,18091,10913,1504,585,21,75,0
Clothing,C,Canmore,1,12C,2025,202510,1104,194,24,7,16118,9216,824,109,23,0,0
Clothing,C,Canmore,1,12C,2025,202511,1605,395,34,9,15131,8975,1168,292,14,30,0
Clothing,C,Canmore,1,12C,2025,202512,1690,886,35,19,40688,28805,1251,664,0,7,0
Clothing,H,Halifax,1,12H,2025,202501,46,134,2,4,2019,18437,21,85,4,0,0
Clothing,H,Halifax,1,12H,2025,202502,94,94,4,3,3873,18249,45,58,4,0,0
Clothing,H,Halifax,1,12H,2025,202503,144,422,7,13,3827,18155,59,267,17,0,0
Clothing,H,Halifax,1,12H,2025,202504,506,823,50,27,5161,17739,-127,507,15,0,0
Clothing,H,Halifax,1,12H,2025,202505,5066,1823,154,60,19137,16865,2768,1124,12,-9,0
Clothing,H,Halifax,1,12H,2025,202506,5648,2919,106,92,14053,15051,3850,1835,0,0,0
Clothing,H,Halifax,1,12H,2025,202507,5835,2514,135,82,8860,12231,3711,1556,-8,0,0
Clothing,H,Halifax,1,12H,2025,202508,1304,2170,35,70,2017,9558,786,1350,40,-21,0
Clothing,H,Halifax,1,12H,2025,202509,155,991,7,36,78,7315,61,568,0,136,0
Clothing,H,Halifax,1,12H,2025,202510,15,22,1,1,-37,6160,-2,10,40,5,0
Clothing,H,Halifax,1,12H,2025,202511,0,86,0,3,-202,6160,0,47,0,0,0
Clothing,H,Halifax,1,12H,2025,202512,0,0,0,0,-220,3973,0,0,0,0,0
Clothing,N,Niagara,1,12N,2025,202501,455,490,34,13,2121,31001,84,332,0,0,0
Clothing,N,Niagara,1,12N,2025,202502,311,1181,22,32,2928,30458,64,807,23,0,0
Clothing,N,Niagara,1,12N,2025,202503,445,1511,26,40,2544,29210,143,1052,0,-1,0
Clothing,N,Niagara,1,12N,2025,202504,512,1770,42,47,5293,27669,36,1229,0,30,0
Clothing,N,Niagara,1,12N,2025,202505,1118,3377,41,85,3605,25832,604,2399,13,40,0
Clothing,N,Niagara,1,12N,2025,202506,785,2736,18,71,2404,21820,532,1913,0,4,0
Clothing,N,Niagara,1,12N,2025,202507,785,4703,18,139,1710,17047,532,3066,0,8,0
Clothing,N,Niagara,1,12N,2025,202508,424,3864,9,115,880,12379,304,2542,0,472,0
Clothing,N,Niagara,1,12N,2025,202509,194,1790,4,67,7029,8062,141,1015,0,4,0
Clothing,N,Niagara,1,12N,2025,202510,94,569,2,26,6747,4379,67,270,0,0,0
Clothing,N,Niagara,1,12N,2025,202511,374,269,8,11,6653,4870,268,145,2,-6,0
Clothing,N,Niagara,1,12N,2025,202512,141,47,3,2,6297,4583,101,24,0,0,0
Clothing,P,PEI,1,12P,2025,202501,130,138,4,4,17518,99911,83,91,-20,14,0
Clothing,P,PEI,1,12P,2025,202502,316,273,12,7,21511,99668,181,193,0,0,0
Clothing,P,PEI,1,12P,2025,202503,422,928,17,24,21539,99385,222,654,43,26,0
Clothing,P,PEI,1,12P,2025,202504,2978,3045,247,78,39351,98383,75,2126,252,53,0
Clothing,P,PEI,1,12P,2025,202505,9787,10139,294,263,47211,95197,5925,6982,249,349,0
Clothing,P,PEI,1,12P,2025,202506,17289,20874,468,530,37567,84404,11141,14568,468,150,0
Clothing,P,PEI,1,12P,2025,202507,10175,21342,259,594,19130,60855,6754,14429,55,365,0
Clothing,P,PEI,1,12P,2025,202508,4700,10331,117,292,12926,39867,3237,6997,42,1119,0
Clothing,P,PEI,1,12P,2025,202509,2479,2489,71,70,15276,29111,1533,1691,111,0,0
Clothing,P,PEI,1,12P,2025,202510,407,190,23,6,12094,26578,88,121,38,9,0
Clothing,P,PEI,1,12P,2025,202511,260,352,6,10,11706,26184,187,236,0,-2,0
Clothing,P,PEI,1,12P,2025,202512,0,80,0,2,10843,25126,0,57,0,0,0
Clothing,Q,Quebec,1,12Q,2025,202501,553,1480,15,41,5762,15316,375,1012,0,0,0
Clothing,Q,Quebec,1,12Q,2025,202502,539,722,20,19,6547,13852,306,506,-2,0,0
Clothing,Q,Quebec,1,12Q,2025,202503,598,320,19,9,5788,13130,379,218,0,0,0
Clothing,Q,Quebec,1,12Q,2025,202504,815,1120,51,37,11354,12810,238,698,0,0,0
Clothing,Q,Quebec,1,12Q,2025,202505,1342,2142,31,70,9802,11453,942,1336,0,604,0
Clothing,Q,Quebec,1,12Q,2025,202506,1206,2069,36,65,8469,8204,760,1319,0,99,0
Clothing,Q,Quebec,1,12Q,2025,202507,1729,1972,53,52,5906,6739,1073,1371,0,0,0
Clothing,Q,Quebec,1,12Q,2025,202508,2019,4141,58,108,4180,16378,1292,2878,0,-27,0
Clothing,Q,Quebec,1,12Q,2025,202509,780,2392,18,63,8082,13697,543,1654,0,13,0
Clothing,Q,Quebec,1,12Q,2025,202510,298,888,7,25,7308,10539,206,595,8,47,0
Clothing,Q,Quebec,1,12Q,2025,202511,1225,2082,28,57,7050,9662,857,1422,0,0,0
Clothing,Q,Quebec,1,12Q,2025,202512,129,422,3,11,5675,7746,89,290,0,21,0
Clothing,V,Vancouver,1,12V,2025,202501,0,0,0,0,1699,2523,0,0,0,0,0
Clothing,V,Vancouver,1,12V,2025,202502,0,75,0,3,1699,2523,0,41,0,0,0
Clothing,V,Vancouver,1,12V,2025,202503,210,75,7,3,6048,2449,125,41,0,0,0
Clothing,V,Vancouver,1,12V,2025,202504,696,375,22,15,7058,2374,429,209,0,0,0
Clothing,V,Vancouver,1,12V,2025,202505,2248,674,65,27,18565,1999,1400,376,19,0,0
Clothing,V,Vancouver,1,12V,2025,202506,1530,575,39,23,10117,1324,976,320,0,0,0
Clothing,V,Vancouver,1,12V,2025,202507,1411,317,44,13,8533,750,841,173,0,7,0
Clothing,V,Vancouver,1,12V,2025,202508,1964,474,62,19,6778,2299,1140,264,0,0,0
Clothing,V,Vancouver,1,12V,2025,202509,300,25,11,1,4694,1799,162,13,0,0,0
Clothing,V,Vancouver,1,12V,2025,202510,60,25,2,1,4559,1774,34,13,0,0,0
Clothing,V,Vancouver,1,12V,2025,202511,15,0,1,0,4349,1724,3,0,0,0,0
Clothing,V,Vancouver,1,12V,2025,202512,90,25,2,1,4334,1724,58,13,0,0,0
Clothing,W,Whistler,1,12W,2025,202501,9972,7519,230,193,36769,21904,6927,5263,20,28,0
Clothing,W,Whistler,1,12W,2025,202502,9516,7243,203,176,32983,19922,6613,5246,27,13,0
Clothing,W,Whistler,1,12W,2025,202503,5567,2240,122,54,33948,16748,4003,1632,63,7,0
Clothing,W,Whistler,1,12W,2025,202504,4806,2292,133,56,34989,21057,3028,1660,317,0,0
Clothing,W,Whistler,1,12W,2025,202505,11315,4255,253,109,48374,18774,8066,3029,83,-18,0
